"transaction_id,order_date,product_id,store_id,customer_id,quantity,discount,returned"
"T0000069,,P042994,S003,C005049,4,0.0,0"
"T0000070,2023-11-07,P039757,S001,C001909,3,0.2,0"
"T0000071,,P039162,S002,C023513,3,0.0,0"
"T0000073,,P011677,S001,C016524,2,0.0,0"
"T0000074,2022-10-01,P007205,S001,C021719,2,0.0,1"
"T0000075,,P000691,S002,C008004,2,0.0,0"
"T0000076,,P026583,S003,C020747,2,0.0,0"
"T0000077,,P021780,S004,C022485,3,0.0,0"
"T0000078,,P040809,S004,C010917,2,0.0,0"
"T0000079,2020-03-04,P001675,S005,C021940,1,0.0,1"
"T0000080,,P999999,S003,C020459,4,0.0,0"
"T0000081,2021-11-04,P045247,S003,C010681,4,0.2,0"
"T0000082,2024-02-05,P020829,S003,C000978,1,0.1,0"
"T0000083,,P019849,S005,C011508,3,0.2,0"
"T0000085,,P047287,S003,C019469,3,0.0,0"
"T0000086,,P010632,S001,C005579,3,0.0,0"
"T0000087,2024-09-11,P008812,S001,C019996,2,0.0,0"
"T0000088,,P005535,S002,C014899,3,0.1,0"
"T0000089,,P034298,S005,C002964,4,0.2,0"
"T0000090,,P001672,S005,C006813,1,0.1,0"
"T0000091,,P037515,S005,C006552,2,0.0,1"
"T0000092,,P045322,S001,C014137,3,0.0,0"
"T0000093,2024-04-09,P007935,S005,C000563,3,0.0,0"
"T0000094,,P021739,S002,C013100,4,0.0,0"
"T0000095,,P015749,S002,C007400,1,0.0,0"
"T0000096,,P004624,S002,C022510,2,0.0,0"
"T0000097,,P047695,S002,C011695,4,0.0,0"
"T0000098,2021-05-03,P047438,S002,C000610,2,0.0,0"
"T0000099,2023-04-10,P018768,S001,C018143,4,0.0,0"
"T0000100,,P022424,S003,C004289,2,0.0,0"
"T0000101,2023-08-12,P010364,S005,C003700,4,0.0,0"
"T0000102,,P045999,S005,C013615,2,0.1,0"
"T0000103,,P000999,S001,C004769,2,0.0,0"
"T0000104,,P019694,S002,C011571,1,0.0,1"
"T0000105,2023-01-06,P005257,S003,C019243,2,0.2,0"
"T0000106,,P024551,S002,C013947,1,0.0,0"
"T0000107,,P005756,S004,C024139,3,0.1,0"
"T0000108,,P010074,S003,C016445,4,0.0,0"
"T0000109,2024-02-02,P007999,S004,C001867,2,0.0,0"
"T0000110,,P037676,S002,C009061,1,0.2,0"
"T0000111,,P011935,S005,C014408,1,0.0,0"
"T0000112,2022-04-08,P022733,S004,C001967,3,0.0,0"
"T0000113,,P011048,S999,C000513,3,0.1,0"
"T0000114,2021-06-07,P018064,S004,C014472,4,0.3,1"
"T0000115,2023-03-08,P000175,S001,C021497,4,0.0,0"
"T0000116,2023-10-11,P046361,S003,C019107,3,0.0,0"
"T0000117,,P011631,S003,C004613,1,0.0,1"
"T0000118,,P023526,S001,C002657,1,0.0,0"
"T0000119,2023-03-11,P010269,S002,C000877,1,0.0,0"
"T0000120,,P047765,S004,C020900,4,0.0,0"
"T0000121,,P009258,S003,C021365,4,0.0,0"
"T0000122,,P041064,S002,C023659,2,0.3,0"
"T0000123,2024-08-05,P046225,S001,C005929,3,0.0,0"
"T0000124,,P045311,S002,C001070,1,0.0,0"
"T0000125,,P018808,S005,C003791,3,0.2,0"
"T0000126,2024-10-08,P008867,S001,C020044,3,0.1,0"
"T0000127,2020-06-03,P023071,S001,C009765,4,0.0,0"
"T0000128,2024-06-07,P043070,S003,C001560,1,0.0,0"
"T0000129,2021-08-10,P005797,S001,C012462,2,0.0,0"
"T0000130,2022-01-04,P049759,S002,C007923,3,0.1,0"
"T0000131,2021-02-07,P038916,S002,C014419,1,0.0,0"
"T0000132,,P048881,S005,C016277,3,0.0,0"
"T0000133,2021-08-03,P036566,S003,C017449,1,0.0,0"
"T0000134,2023-07-03,P025195,S004,C016960,2,0.1,0"
"T0000135,,P038211,S001,C002850,4,0.0,1"
"T0000136,2024-10-01,P013491,S003,C005569,1,0.0,0"
"T0000137,2021-06-10,P040519,S001,C011146,2,0.3,0"
"T0000138,2021-11-03,P021436,S001,C004850,1,0.0,0"
"T0000139,2023-04-09,P032090,S002,C004346,4,0.0,0"
"T0000140,,P010896,S005,C020138,2,0.0,0"
"T0000141,,P004366,S003,C009661,4,0.1,0"
"T0000142,,P041982,S001,C019570,1,0.0,0"
"T0000143,2023-09-08,P010596,S005,C020810,4,0.1,0"
"T0000144,,P031824,S004,C004233,3,0.0,0"
"T0000145,,P037145,S002,C017825,4,0.0,0"
"T0000146,,P009104,S002,C002704,3,0.1,0"
"T0000147,2020-12-10,P017843,S002,C015373,4,0.1,0"
"T0000148,,P037175,S002,C000300,1,0.1,0"
"T0000149,2024-05-03,P046313,S005,C021177,1,0.0,1"
"T0000150,,P025562,S005,C015504,2,0.0,0"
"T0000151,2023-08-01,P002241,S004,C011680,2,0.0,0"
"T0000152,,P005085,S003,C024628,3,0.0,0"
"T0000153,2024-09-03,P008642,S003,C001033,1,0.0,0"
"T0000154,2023-12-04,P031588,S002,C021494,3,0.1,0"
"T0000155,,P008216,S002,C004556,1,0.3,0"
"T0000156,2023-10-04,P025587,S004,C001883,4,0.0,0"
"T0000157,,P015124,S004,C016863,4,0.0,0"
"T0000158,2022-11-01,P018718,S002,C022101,4,0.1,0"
"T0000159,,P028980,S001,C003163,3,0.0,0"
"T0000160,2020-10-10,P004322,S005,C020617,4,0.0,0"
"T0000162,2022-07-10,P003319,S001,C006702,1,0.1,0"
"T0000163,2020-05-07,P019788,S002,C024880,1,0.0,0"
"T0000164,,P013122,S002,C018761,4,0.0,0"
"T0000165,2020-06-04,P045932,S003,C019176,1,0.0,0"
"T0000166,,P011962,S002,C005725,4,0.0,1"
"T0000167,2020-12-08,P040976,S002,C015179,3,0.2,0"
"T0000168,2020-09-11,P022340,S002,C018902,1,0.2,0"
"T0000169,2023-09-07,P010595,S004,C017938,3,0.1,0"
"T0000170,,P016425,S002,C023986,1,0.0,0"
"T0000171,2024-10-06,P004334,S004,C013044,4,0.0,0"
"T0000172,,P033285,S004,C024393,3,0.0,1"
"T0000173,,P048340,S001,C006874,2,0.0,0"
"T0000174,2023-06-05,P030796,S002,C015400,2,0.0,1"
"T0000175,2020-10-05,P042607,S003,C011265,1,0.1,1"
"T0000176,,P045553,S003,C006481,3,0.0,0"
"T0000177,,P009591,S001,C012633,4,0.0,0"
"T0000178,2023-05-05,P021337,S002,C011612,4,0.0,0"
"T0000180,,P007626,S001,C010681,3,0.1,0"
"T0000181,,P043166,S002,C010142,3,0.0,0"
"T0000182,2023-07-02,P040414,S002,C005660,2,0.2,0"
"T0000183,,P014756,S002,C013356,1,0.1,0"
"T0000184,,P012722,S001,C022596,3,0.0,0"
"T0000185,,P016745,S001,C001405,4,0.1,1"
"T0000186,,P044270,S005,C018359,4,0.0,0"
"T0000187,,P041283,S001,C012740,2,0.0,1"
"T0000188,,P033158,S004,C011826,4,0.0,0"
"T0000189,,P009921,S004,C010946,3,0.0,0"
"T0000190,2023-04-01,P002933,S003,C012810,1,0.0,0"
"T0000191,,P048624,S003,C007205,1,0.3,0"
"T0000193,,P002724,S002,C016454,2,0.0,0"
"T0000194,2023-05-08,P005108,S005,C024577,2,0.0,0"
"T0000195,,P011231,S002,C020086,4,0.1,0"
"T0000196,,P014523,S002,C003212,2,0.0,0"
"T0000197,,P029837,S003,C008130,4,0.2,0"
"T0000198,2022-09-06,P001961,S004,C008338,1,0.0,0"
"T0000199,,P003358,S001,C010484,1,0.0,1"
"T0000200,,P030229,S001,C009063,3,0.0,0"
"T0000201,2020-07-01,P010742,S004,C018516,3,0.1,0"
"T0000202,,P037588,S001,C009568,3,0.1,0"
"T0000203,,P014633,S003,C010856,2,0.0,0"
"T0000204,,P025605,S005,C012141,3,0.2,0"
"T0000205,,P008412,S001,C008894,2,0.0,0"
"T0000206,,P020071,S002,C024310,4,0.0,1"
"T0000207,2024-09-04,P004427,S001,C009713,2,0.0,0"
"T0000208,,P023520,S005,C014530,2,0.0,0"
"T0000209,2022-05-11,P048749,S002,C004097,2,0.0,0"
"T0000210,2020-05-08,P005857,S004,C021535,1,0.0,0"
"T0000212,2023-04-07,P049247,S003,C000441,3,0.1,0"
"T0000213,2021-03-09,P030654,S001,C013244,3,0.1,1"
"T0000214,,P045525,S002,C019068,1,0.0,0"
"T0000215,2023-01-08,P023565,S999,C018205,3,0.0,0"
"T0000216,2022-05-11,P037793,S002,C021528,1,0.0,0"
"T0000217,2023-01-06,P001905,S001,C011218,2,0.0,0"
"T0000218,2021-11-02,P036938,S001,C010342,3,0.0,0"
"T0000219,2020-09-11,P025231,S005,C015134,4,0.3,0"
"T0000220,2022-04-02,P022763,S003,C002184,4,0.0,0"
"T0000221,2024-10-04,P046361,S003,C021070,4,0.0,0"
"T0000222,,P042994,S002,C022674,2,0.1,0"
"T0000223,2023-09-01,P016312,S002,C003293,2,0.0,0"
"T0000224,,P005745,S002,C004238,4,0.0,0"
"T0000225,,P043650,S004,C004248,1,0.0,0"
"T0000226,2020-02-01,P011862,S005,C008190,1,0.0,0"
"T0000227,2023-11-05,P015014,S003,C011843,3,0.1,0"
"T0000228,,P013761,S004,C010340,2,0.0,0"
"T0000229,,P018902,S005,C016645,4,0.0,0"
"T0000230,2020-09-02,P037959,S005,C022619,1,0.0,0"
"T0000231,,P048205,S004,C021075,2,0.0,0"
"T0000232,,P046950,S002,C004290,2,0.0,0"
"T0000233,2024-04-12,P001626,S004,C021455,2,0.1,0"
"T0000234,,P012444,S005,C023626,4,0.3,0"
"T0000235,2024-10-07,P002080,S002,C018096,2,0.0,0"
"T0000236,,P020297,S003,C003009,1,0.1,0"
"T0000237,2021-05-05,P024906,S005,C014229,4,0.0,0"
"T0000238,,P012969,S004,C012828,3,0.0,0"
"T0000239,2021-08-05,P004919,S001,C018869,3,0.0,0"
"T0000240,2024-03-12,P019206,S002,C011081,2,0.0,0"
"T0000241,2023-07-03,P034280,S004,C005582,4,0.3,0"
"T0000242,2020-10-06,P037360,S004,C011882,2,0.0,0"
"T0000243,,P043662,S003,C000804,1,0.3,0"
"T0000244,2024-07-02,P049325,S001,C020544,3,0.1,0"
"T0000245,,P006784,S001,C012370,3,0.0,0"
"T0000246,,P045494,S002,C005178,1,0.1,0"
"T0000247,,P046582,S005,C011447,2,0.1,0"
"T0000248,2024-06-04,P026042,S005,C014103,1,0.1,0"
"T0000249,,P013863,S001,C024603,3,0.2,0"
"T0000250,,P040707,S002,C010365,1,0.0,0"
"T0000251,,P013624,S004,C019069,4,0.0,0"
"T0000252,,P027950,S001,C009287,4,0.0,0"
"T0000254,,P007477,S002,C024903,1,0.2,0"
"T0000255,,P022447,S001,C005745,4,0.0,0"
"T0000256,2020-04-12,P014761,S004,C024911,2,0.1,0"
"T0000257,,P044899,S003,C002355,4,0.0,0"
"T0000258,,P005960,S005,C001642,4,0.1,0"
"T0000259,,P012490,S005,C002611,2,0.0,0"
"T0000260,,P010914,S003,C007439,3,0.0,1"
"T0000261,,P001032,S001,C020574,1,0.1,1"
"T0000262,2021-09-03,P007574,S003,C005479,4,0.1,0"
"T0000263,2023-09-01,P044134,S005,C005182,2,0.1,1"
"T0000264,,P047588,S003,C021645,4,0.1,0"
"T0000265,2024-03-02,P007960,S005,C008714,2,0.0,0"
"T0000266,,P035220,S003,C022501,1,0.0,1"
"T0000268,,P023727,S003,C024115,2,0.0,0"
"T0000269,,P000791,S004,C023304,4,0.1,0"
"T0000270,,P039000,S001,C000395,4,0.0,0"
"T0000271,2023-07-10,P038541,S001,C010293,2,0.0,0"
"T0000272,,P022560,S004,C023825,2,0.3,0"
"T0000273,2022-03-02,P036124,S005,C016086,1,0.1,0"
"T0000274,,P012769,S003,C021003,3,0.2,0"
"T0000275,,P005656,S001,C010681,1,0.0,0"
"T0000276,,P031191,S004,C008992,1,0.2,0"
"T0000277,2020-04-09,P028594,S005,C024768,4,0.0,0"
"T0000278,,P020268,S001,C000696,2,0.0,0"
"T0000279,2021-05-04,P047781,S005,C003442,2,0.1,0"
"T0000280,2020-11-05,P015782,S004,C020651,4,0.1,1"
"T0000281,,P008974,S003,C024560,2,0.0,0"
"T0000282,,P046094,S002,C016423,1,0.0,0"
"T0000283,,P005109,S001,C013990,1,0.0,0"
"T0000284,2023-08-02,P021020,S004,C009361,3,0.1,0"
"T0000285,,P005570,S001,C024304,4,0.1,0"
"T0000286,,P027428,S001,C020487,3,0.1,0"
"T0000287,,P049025,S004,C001733,3,0.1,0"
"T0000288,,P012442,S001,C021910,2,0.0,0"
"T0000289,,P044502,S002,C003400,1,0.0,0"
"T0000290,,P008077,S002,C010544,1,0.1,1"
"T0000291,,P029928,S004,C017389,4,0.3,0"
"T0000292,,P017069,S004,C015911,2,0.1,0"
"T0000293,,P012396,S001,C021544,1,0.0,0"
"T0000294,,P001003,S004,C009736,1,0.0,0"
"T0000295,2020-05-03,P024604,S004,C000261,3,0.0,0"
"T0000297,2021-07-11,P036639,S005,C016548,2,0.2,0"
"T0000298,,P020438,S001,C021888,2,0.0,1"
"T0000299,,P016797,S004,C020722,3,0.0,0"
"T0000300,2021-02-05,P031188,S001,C013492,2,0.0,0"
"T0000301,,P026159,S001,C010355,4,0.0,0"
"T0000302,2023-02-10,P037525,S003,C000560,3,0.0,0"
"T0000303,,P040975,S002,C024341,3,0.1,1"
"T0000304,,P001879,S004,C003722,2,0.0,0"
"T0000305,2023-09-01,P024254,S003,C003493,1,0.0,0"
"T0000306,,P004496,S004,C004592,4,0.0,1"
"T0000307,,P035367,S002,C021674,1,0.1,0"
"T0000308,2024-12-12,P028618,S005,C016482,3,0.0,0"
"T0000309,,P040121,S003,C006196,2,0.0,0"
"T0000310,,P019421,S001,C022321,4,0.2,0"
"T0000311,,P039247,S004,C021359,2,0.0,0"
"T0000312,2021-12-05,P024344,S004,C015172,3,0.0,1"
"T0000313,,P031529,S003,C007181,4,0.0,0"
"T0000314,,P047975,S002,C017121,4,0.0,0"
"T0000315,2024-11-07,P032159,S001,C006776,3,0.0,0"
"T0000316,,P020790,S005,C000432,1,0.0,0"
"T0000317,,P010722,S003,C008806,3,0.0,0"
"T0000318,2020-12-07,P046631,S004,C012116,2,0.0,0"
"T0000319,,P049849,S003,C007240,3,0.0,0"
"T0000320,2023-11-09,P034074,S001,C007096,3,0.0,0"
"T0000321,2022-01-06,P040919,S001,C019782,3,0.0,1"
"T0000322,,P001897,S003,C019004,1,0.0,0"
"T0000323,,P026959,S005,C021992,1,0.0,0"
"T0000324,,P039281,S002,C014217,1,0.0,0"
"T0000325,,P005903,S004,C004839,3,0.0,0"
"T0000326,2024-04-11,P040099,S002,C003897,3,0.0,0"
"T0000327,2024-02-02,P002590,S003,C018709,1,0.0,1"
"T0000328,,P049262,S005,C003425,3,0.0,0"
"T0000329,2023-11-10,P041900,S003,C012122,1,0.1,0"
"T0000330,,P043574,S002,C005921,3,0.0,0"
"T0000331,,P039574,S003,C001816,4,0.1,0"
"T0000332,,P003792,S002,C015780,4,0.0,0"
"T0000333,2020-04-05,P041929,S004,C007886,2,0.1,1"
"T0000334,2022-04-04,P017989,S003,C006964,4,0.0,0"
"T0000335,,P016380,S003,C012572,3,0.0,0"
"T0000336,,P029162,S002,C002660,4,0.0,0"
"T0000337,,P042633,S002,C018142,1,0.0,1"
"T0000338,,P041894,S003,C007086,3,0.0,0"
"T0000339,2020-11-08,P024464,S005,C001445,2,0.0,0"
"T0000340,,P004471,S001,C014777,2,0.0,0"
"T0000341,,P026500,S003,C008174,4,0.0,0"
"T0000342,,P004822,S001,C000539,2,0.0,0"
"T0000343,2023-03-01,P026931,S004,C004418,2,0.0,0"
"T0000344,2022-07-07,P038530,S005,C015315,2,0.0,0"
"T0000345,,P001653,S005,C022302,2,0.2,0"
"T0000346,,P041302,S002,C005594,3,0.0,0"
"T0000348,,P008901,S001,C021261,2,0.0,0"
"T0000349,2022-05-08,P013609,S003,C023673,2,0.2,1"
"T0000350,,P010231,S005,C010196,4,0.0,0"
"T0000351,,P034976,S005,C024678,4,0.1,0"
"T0000352,2020-03-06,P001923,S004,C002062,2,0.1,0"
"T0000353,,P038416,S003,C019226,1,0.1,0"
"T0000354,2024-12-07,P030626,S002,C005183,2,0.2,0"
"T0000355,,P035917,S002,C013550,3,0.0,0"
"T0000357,2023-01-02,P005300,S002,C012928,4,0.2,0"
"T0000358,,P032254,S004,C024769,3,0.0,0"
"T0000359,,P004584,S003,C016012,3,0.2,0"
"T0000360,,P027400,S001,C003856,4,0.0,0"
"T0000361,2023-12-01,P005776,S005,C017717,2,0.0,0"
"T0000362,2024-08-09,P040819,S002,C024886,4,0.0,0"
"T0000363,,P026028,S005,C007526,1,0.0,0"
"T0000364,2020-10-07,P049627,S005,C001601,2,0.3,0"
"T0000365,,P013559,S005,C002021,3,0.0,0"
"T0000366,2024-04-10,P033713,S005,C017086,2,0.2,0"
"T0000367,,P033527,S005,C009682,3,0.0,0"
"T0000368,2020-06-12,P043345,S004,C002480,1,0.2,1"
"T0000369,2022-12-04,P022980,S001,C016376,4,0.2,0"
"T0000370,,P015104,S001,C008068,1,0.0,0"
"T0000371,2022-12-09,P015276,S003,C013351,2,0.2,0"
"T0000372,,P008206,S003,C007570,2,0.0,0"
"T0000373,2024-05-11,P004623,S005,C010206,1,0.1,0"
"T0000374,2022-01-04,P033506,S005,C022589,3,0.2,0"
"T0000375,,P008584,S003,C015014,2,0.1,0"
"T0000376,2020-03-12,P042238,S002,C019521,4,0.0,0"
"T0000377,,P012444,S001,C022847,1,0.0,0"
"T0000378,2020-05-01,P027648,S001,C016827,4,0.1,0"
"T0000379,2022-10-03,P041319,S005,C003537,1,0.0,0"
"T0000380,,P036725,S004,C004479,2,0.0,0"
"T0000381,,P017075,S002,C003517,1,0.0,0"
"T0000382,,P020437,S004,C010411,3,0.1,1"
"T0000383,,P016523,S005,C014559,1,0.0,0"
"T0000384,2021-07-08,P013587,S005,C010084,3,0.0,0"
"T0000386,,P009214,S999,C009411,2,0.0,0"
"T0000387,2024-05-02,P037507,S003,C010743,4,0.0,0"
"T0000388,,P030075,S005,C012079,2,0.0,0"
"T0000389,2023-12-02,P044746,S004,C009691,3,0.0,0"
"T0000390,,P031680,S004,C009751,4,0.1,0"
"T0000391,2024-11-01,P048267,S005,C023126,3,0.3,0"
"T0000392,,P033362,S004,C000100,2,0.1,0"
"T0000393,,P012720,S003,C008868,1,0.0,1"
"T0000394,,P040282,S002,C019809,1,0.2,0"
"T0000395,,P014753,S004,C023627,2,0.0,1"
"T0000396,,P015796,S003,C016054,3,0.0,0"
"T0000397,,P044903,S001,C004345,4,0.0,0"
"T0000398,2023-01-04,P027945,S001,C011311,3,0.0,0"
"T0000399,,P046490,S001,C022274,4,0.0,0"
"T0000400,,P005023,S005,C011459,3,0.2,0"
"T0000401,2020-04-05,P040562,S005,C016436,4,0.0,0"
"T0000402,2024-11-03,P012644,S001,C010326,4,0.0,0"
"T0000403,2021-04-10,P005372,S002,C002151,2,0.2,0"
"T0000404,,P008370,S003,C003869,3,0.0,0"
"T0000405,2020-12-04,P002922,S004,C023365,3,0.0,0"
"T0000406,2023-11-04,P008515,S004,C023441,4,0.3,0"
"T0000407,2022-03-09,P024410,S005,C000114,2,0.0,0"
"T0000408,,P000432,S005,C002558,2,0.3,1"
"T0000409,2024-12-10,P034764,S004,C016988,4,0.0,0"
"T0000410,,P039687,S001,C020726,4,0.1,0"
"T0000411,,P028012,S005,C007774,2,0.0,0"
"T0000412,,P000988,S005,C021868,4,0.0,0"
"T0000413,2022-06-11,P022984,S003,C016090,1,0.0,0"
"T0000414,,P041402,S004,C018196,1,0.0,1"
"T0000415,2024-09-10,P049252,S004,C021322,2,0.0,0"
"T0000416,,P047043,S003,C011542,2,0.0,0"
"T0000417,,P021430,S004,C005661,1,0.0,0"
"T0000418,2023-03-05,P049311,S003,C022226,4,0.0,0"
"T0000419,,P026771,S002,C012585,4,0.0,0"
"T0000420,,P044299,S002,C024104,4,0.0,0"
"T0000421,,P033867,S002,C020217,2,0.0,0"
"T0000423,2022-06-04,P002288,S004,C000204,3,0.1,1"
"T0000424,2020-02-09,P006918,S005,C000805,4,0.0,0"
"T0000425,,P011772,S005,C022369,4,0.1,0"
"T0000426,2023-12-03,P006302,S001,C021707,3,0.0,0"
"T0000427,,P045305,S001,C017180,3,0.1,0"
"T0000428,,P034577,S002,C012176,1,0.0,0"
"T0000429,2023-02-05,P032298,S002,C007464,3,0.0,0"
"T0000430,,P027816,S004,C020530,4,0.3,0"
"T0000431,,P029345,S001,C000131,4,0.1,0"
"T0000432,,P037512,S005,C014587,2,0.0,0"
"T0000433,2022-08-05,P001994,S001,C005573,3,0.0,0"
"T0000434,2023-08-09,P019963,S003,C015868,4,0.1,0"
"T0000435,2023-10-04,P041764,S001,C000103,2,0.0,1"
"T0000436,2023-03-03,P024880,S004,C022211,2,0.0,0"
"T0000437,2022-06-12,P018936,S005,C024222,4,0.0,0"
"T0000438,2021-09-10,P019960,S002,C012896,3,0.0,0"
"T0000439,,P017274,S003,C014141,2,0.0,0"
"T0000440,,P042691,S999,C018648,3,0.2,0"
"T0000441,2023-03-10,P041365,S005,C021231,2,0.0,0"
"T0000442,2024-06-01,P036100,S001,C013903,4,0.0,0"
"T0000443,2021-05-10,P040475,S003,C000257,2,0.0,0"
"T0000444,2021-03-05,P009991,S002,C015189,4,0.0,0"
"T0000445,,P013267,S004,C016294,3,0.0,0"
"T0000446,,P001397,S001,C002924,2,0.0,0"
"T0000447,,P024366,S004,C023987,2,0.0,0"
"T0000448,2023-07-10,P007702,S003,C014746,1,0.1,0"
"T0000449,,P009326,S003,C010265,1,0.0,0"
"T0000450,2021-06-09,P015529,S003,C017334,4,0.1,1"
"T0000451,,P027858,S001,C005748,3,0.0,0"
"T0000452,2021-09-10,P032356,S001,C012426,4,0.0,0"
"T0000453,,P031762,S001,C018549,3,0.2,0"
"T0000454,,P037385,S001,C022060,2,0.0,1"
"T0000455,,P041145,S003,C021453,4,0.0,0"
"T0000456,,P046612,S004,C019309,1,0.2,0"
"T0000457,,P047650,S005,C000522,1,0.0,1"
"T0000458,,P028535,S002,C006757,4,0.0,1"
"T0000459,,P029592,S005,C018812,2,0.3,0"
"T0000460,,P037263,S005,C014154,3,0.2,0"
"T0000461,2023-06-01,P006865,S004,C008093,1,0.0,0"
"T0000462,2021-12-03,P016789,S002,C019129,3,0.3,0"
"T0000463,2022-02-11,P016499,S003,C024159,3,0.0,0"
"T0000464,,P045474,S002,C000775,4,0.1,0"
"T0000465,,P048988,S001,C012909,3,0.0,0"
"T0000466,,P025438,S001,C003403,3,0.0,0"
"T0000467,2024-09-12,P046528,S001,C023665,4,0.0,1"
"T0000468,,P026574,S002,C002917,3,0.0,0"
"T0000469,2024-05-12,P040141,S004,C019735,3,0.0,0"
"T0000470,,P020832,S003,C004437,2,0.0,0"
"T0000471,,P002032,S005,C017648,1,0.0,0"
"T0000472,2021-06-08,P039045,S004,C010381,3,0.0,0"
"T0000473,,P040246,S003,C002497,3,0.1,0"
"T0000474,,P007397,S005,C022402,1,0.0,1"
"T0000475,2024-03-09,P029660,S003,C023517,1,0.0,0"
"T0000476,,P026296,S003,C008835,3,0.0,0"
"T0000477,2023-11-12,P004294,S004,C022496,1,0.0,0"
"T0000479,2023-06-06,P021498,S002,C015974,3,0.2,0"
"T0000480,2024-10-07,P027751,S003,C003152,1,0.3,0"
"T0000481,2023-01-09,P014035,S002,C007098,4,0.1,0"
"T0000482,,P021799,S001,C016144,2,0.3,1"
"T0000483,,P005348,S002,C017018,3,0.0,0"
"T0000484,,P008820,S001,C012656,2,0.0,0"
"T0000485,,P044971,S002,C006150,4,0.1,0"
"T0000486,2023-09-02,P046296,S004,C012076,2,0.0,0"
"T0000487,2021-05-09,P009847,S001,C024013,1,0.0,0"
"T0000488,,P024873,S002,C008123,1,0.2,0"
"T0000489,,P016551,S002,C010919,4,0.0,0"
"T0000490,2024-03-12,P031861,S003,C003018,1,0.2,0"
"T0000491,2020-02-10,P008708,S001,C021085,2,0.1,0"
